identifier,latitude,longitude,feature,taille
0301-071,22.8,41.38,FEATURE_VOLCANO,3.16879202
0301-04-,25.17,37.75,FEATURE_VOLCANO,3.136720567
0301-01=,27.8,36.17,FEATURE_VOLCANO,3.290034611
0301-07=,23.08,39.78,FEATURE_VOLCANO,3.241546481
0301-02=,27.08,37.25,FEATURE_VOLCANO,3.283301229
0301-08-,17.05,42.83,FEATURE_VOLCANO,2.484299839
1505-18-,-26.12,-67.4,FEATURE_VOLCANO,3.54344718
1508-024,-41.88,-72.58,FEATURE_VOLCANO,3.08278537
1505-16-,-24.29,-67.783,FEATURE_VOLCANO,3.78497371
1507-023,-34.65,-70.05,FEATURE_VOLCANO,3.715083671
,-39.02,-70.37,FEATURE_VOLCANO,3.230448921
1505-21-,-26.789,-67.765,FEATURE_VOLCANO,3.669316881
1505-19-,-26.632,-68.361,FEATURE_VOLCANO,3.804343918
1507-067,-36.638,-70.432,FEATURE_VOLCANO,3.672282625
1505-124,-26.8,-68.37,FEATURE_VOLCANO,3.771293443
1507-123,-39.887,-71.58,FEATURE_VOLCANO,3.340245762
1505-123,-26.48,-68.58,FEATURE_VOLCANO,3.790496277
1507-066,-36.422,-69.241,FEATURE_VOLCANO,3.569958818
1505-20-,-26.623,-68.116,FEATURE_VOLCANO,3.758987547
1507-073,-37.567,-69.617,FEATURE_VOLCANO,2.986771734
1505-107,-24.188,-68.054,FEATURE_VOLCANO,3.794697127
1507-024,-34.917,-69.981,FEATURE_VOLCANO,3.698883137
1505-131,-27.105,-68.713,FEATURE_VOLCANO,3.792741786
1505-22-,-27.196,-68.561,FEATURE_VOLCANO,3.823343791
1507-081,-37.738,-70.906,FEATURE_VOLCANO,3.372912003
1507-072,-37.144,-70.033,FEATURE_VOLCANO,3.614264287
1507-071,-37.142,-70.03,FEATURE_VOLCANO,3.599664779
1505-15-,-24.05,-66.48,FEATURE_VOLCANO,3.739255803
1505-161,-25.078,-68.266,FEATURE_VOLCANO,3.667639706
1508-061,-49.358,-73.28,FEATURE_VOLCANO,3.113943352
0104-06-,40.53,44.2,FEATURE_VOLCANO,3.612253906
0104-07-,40.283,45,FEATURE_VOLCANO,3.555940438
0104-09-,40.028,45.74,FEATURE_VOLCANO,3.481299273
0104-10-,39.742,45.992,FEATURE_VOLCANO,3.496791316
0104-08-,39.797,45.497,FEATURE_VOLCANO,3.410777233
1706-01=,71.082,-8.155,FEATURE_VOLCANO,3.341830057
