identifier,latitude,longitude,resource,taille
343,41.28,14.3,RESOURCE_ALUMINUM,1.5
344,41.38,14.5,RESOURCE_ALUMINUM,1.5
342,41.71,15.74,RESOURCE_ALUMINUM,1.5
128,41.95,-105.96,RESOURCE_ALUMINUM,12.06326407
484,42,65,RESOURCE_ALUMINUM,1.69
341,42.2,13.73,RESOURCE_ALUMINUM,1.5
475,42.26,-123.66,RESOURCE_ALUMINUM,1.69
134,42.26,22.89,RESOURCE_ALUMINUM,12.24664341
372,42.29,69.62,RESOURCE_ALUMINUM,1.69
374,42.61,20.95,RESOURCE_ALUMINUM,1.69
448,42.7,1.01,RESOURCE_ALUMINUM,1.69
131,42.74,-107.72,RESOURCE_ALUMINUM,12.06697148
384,42.77,19.12,RESOURCE_ALUMINUM,2.079181246
222,42.84,22.65,RESOURCE_ALUMINUM,1.69
252,42.94,1.8,RESOURCE_ALUMINUM,1.69
473,42.97,-123.44,RESOURCE_ALUMINUM,1.69
116,43.29,-122.27,RESOURCE_ALUMINUM,11.94024338
253,43.43,6.02,RESOURCE_ALUMINUM,1.69
245,43.46,17.23,RESOURCE_ALUMINUM,1.69
472,43.71,-120.53,RESOURCE_ALUMINUM,1.69
442,43.84,19.81,RESOURCE_ALUMINUM,1.69
373,43.9,81.35,RESOURCE_ALUMINUM,1.69
203,44.15,18.09,RESOURCE_ALUMINUM,1.69
244,44.21,15.67,RESOURCE_ALUMINUM,1.72427587
250,44.4,3.49,RESOURCE_ALUMINUM,1.69
117,44.42,-122.14,RESOURCE_ALUMINUM,11.91594091
141,44.47,8.86,RESOURCE_ALUMINUM,7.638198244
249,44.55,2.23,RESOURCE_ALUMINUM,1.5
441,44.72,21.25,RESOURCE_ALUMINUM,1.69
88,44.93,-111.36,RESOURCE_ALUMINUM,11.98279784
83,44.94,-116.17,RESOURCE_ALUMINUM,11.85120321
85,45.1,-112.52,RESOURCE_ALUMINUM,11.98639184
94,45.1,-112.38,RESOURCE_ALUMINUM,12.01754185
119,45.24,-117.26,RESOURCE_ALUMINUM,11.92870387
440,45.32,19.35,RESOURCE_ALUMINUM,1.72427587
154,45.38,148.82,RESOURCE_ALUMINUM,9.236397906
89,45.56,-111.26,RESOURCE_ALUMINUM,11.99402357
93,45.58,-111.73,RESOURCE_ALUMINUM,12.00563192
151,45.9,134.88,RESOURCE_ALUMINUM,12.53046146
87,46.2,-112.62,RESOURCE_ALUMINUM,12.01754789
92,46.32,-113.57,RESOURCE_ALUMINUM,12.00828003
470,46.59,33.05,RESOURCE_ALUMINUM,1.5
398,46.92,22.51,RESOURCE_ALUMINUM,1.698970004
284,47.04,17.46,RESOURCE_ALUMINUM,1.5
283,47.36,18.4,RESOURCE_ALUMINUM,1.77815125
477,47.42,-120.21,RESOURCE_ALUMINUM,1.69
471,47.64,38.05,RESOURCE_ALUMINUM,1.69
370,49.84,73.02,RESOURCE_ALUMINUM,1.69
367,50.2,66.92,RESOURCE_ALUMINUM,1.69
396,50.56,16.56,RESOURCE_ALUMINUM,1.5
408,50.87,36.43,RESOURCE_ALUMINUM,1.77815125
256,51.13,11.24,RESOURCE_ALUMINUM,1.69
369,51.21,71.51,RESOURCE_ALUMINUM,1.69
397,51.23,22.54,RESOURCE_ALUMINUM,4.650598898
429,51.3,58.45,RESOURCE_ALUMINUM,1.69
469,51.34,29.95,RESOURCE_ALUMINUM,1.69
366,51.52,64.52,RESOURCE_ALUMINUM,1.69
436,51.63,38.97,RESOURCE_ALUMINUM,1.69
371,51.68,75.39,RESOURCE_ALUMINUM,1.69
149,51.99,55.62,RESOURCE_ALUMINUM,11.13512902
368,52.26,77.08,RESOURCE_ALUMINUM,1.69
143,52.45,158.2,RESOURCE_ALUMINUM,8.630521877
434,52.46,103.98,RESOURCE_ALUMINUM,1.69
365,52.92,70.17,RESOURCE_ALUMINUM,1.69
133,52.98,29,RESOURCE_ALUMINUM,12.63608076
437,53.01,43.21,RESOURCE_ALUMINUM,1.69
410,54.17,37.72,RESOURCE_ALUMINUM,1.69
431,54.25,85.78,RESOURCE_ALUMINUM,1.69
407,54.36,35.82,RESOURCE_ALUMINUM,1.77815125
428,54.43,61.2,RESOURCE_ALUMINUM,1.69
430,54.66,83.34,RESOURCE_ALUMINUM,1.69
339,54.73,-6.2,RESOURCE_ALUMINUM,1.5
432,55.54,86.1,RESOURCE_ALUMINUM,1.69
144,55.83,160.33,RESOURCE_ALUMINUM,8.630878956
423,55.88,60.75,RESOURCE_ALUMINUM,1.69
399,56.19,37.49,RESOURCE_ALUMINUM,1.69
427,56.68,59.28,RESOURCE_ALUMINUM,1.69
424,57.2,35.33,RESOURCE_ALUMINUM,1.69
426,57.84,61.7,RESOURCE_ALUMINUM,1.69
152,57.95,126.5,RESOURCE_ALUMINUM,10.04446615
406,58.01,56.13,RESOURCE_ALUMINUM,1.69
155,58.59,61.53,RESOURCE_ALUMINUM,12.63805309
435,59.13,99.86,RESOURCE_ALUMINUM,1.69
409,59.54,33.66,RESOURCE_ALUMINUM,1.69
422,59.75,59.96,RESOURCE_ALUMINUM,1.69
414,60.41,57.14,RESOURCE_ALUMINUM,1.69
415,60.7,60.48,RESOURCE_ALUMINUM,1.69
402,61.65,50.85,RESOURCE_ALUMINUM,1.69
403,62.24,55.12,RESOURCE_ALUMINUM,1.69
400,62.65,40.39,RESOURCE_ALUMINUM,1.69
142,62.65,174.5,RESOURCE_ALUMINUM,7.907283609
405,63.56,53.99,RESOURCE_ALUMINUM,1.69
411,63.65,62.11,RESOURCE_ALUMINUM,1.69
412,63.93,61.47,RESOURCE_ALUMINUM,1.69
401,64.73,49.67,RESOURCE_ALUMINUM,1.69
413,64.95,59.62,RESOURCE_ALUMINUM,1.69
153,65.07,116.7,RESOURCE_ALUMINUM,7.878155337
156,66.92,65.42,RESOURCE_ALUMINUM,8.444622499
147,69.28,87.96,RESOURCE_ALUMINUM,10.0687901
146,70.88,101.27,RESOURCE_ALUMINUM,11.74057883
